card_id,primary_family,compatible_family,chord,note,pitch_class,note_in_chord,fit,fit_band,fit_description
C-0001,C major,C major,C/E/G,C4,0,true,0.7000000000000001,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0001,C major,F major,F/A/C,C4,0,true,0.65,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0001,C major,G major,G/B/D,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0001,C major,D minor,D/F/A,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0002,C major,C major,C/E/G,C4,0,true,0.7000000000000001,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0002,C major,F major,F/A/C,C4,0,true,0.65,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0002,C major,G major,G/B/D,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0002,C major,D minor,D/F/A,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0003,C major,C major,C/E/G,C4,0,true,0.7000000000000001,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0003,C major,F major,F/A/C,C4,0,true,0.65,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0003,C major,G major,G/B/D,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0003,C major,D minor,D/F/A,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0004,C major,C major,C/E/G,C4,0,true,0.7000000000000001,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0004,C major,F major,F/A/C,C4,0,true,0.65,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0004,C major,G major,G/B/D,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0004,C major,D minor,D/F/A,C4,0,false,0.65,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0005,C major,C major,C/E/G,C4,0,true,1.0,strongly resolves to,"strongly resolves to C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0005,C major,F major,F/A/C,C4,0,true,0.95,strongly resolves to,"strongly resolves to F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0005,C major,G major,G/B/D,C4,0,false,0.35,barely fits,"barely fits G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0005,C major,D minor,D/F/A,C4,0,false,0.35,barely fits,"barely fits D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0006,C major,C major,C/E/G,E4,4,true,1.0,strongly resolves to,"strongly resolves to C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0006,C major,F major,F/A/C,E4,4,false,0.35,barely fits,"barely fits F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0006,C major,G major,G/B/D,E4,4,false,0.35,barely fits,"barely fits G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0006,C major,D minor,D/F/A,E4,4,false,0.35,barely fits,"barely fits D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0007,C major,C major,C/E/G,G4,7,true,1.0,strongly resolves to,"strongly resolves to C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0007,C major,F major,F/A/C,G4,7,false,0.35,barely fits,"barely fits F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0007,C major,G major,G/B/D,G4,7,true,0.95,strongly resolves to,"strongly resolves to G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0007,C major,D minor,D/F/A,G4,7,false,0.35,barely fits,"barely fits D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0008,C major,C major,C/E/G,B4,11,false,0.4,barely fits,"barely fits C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0008,C major,G major,G/B/D,B4,11,true,0.95,strongly resolves to,"strongly resolves to G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0009,C major,C major,C/E/G,D4,2,false,0.4,barely fits,"barely fits C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0009,C major,F major,F/A/C,D4,2,false,0.35,barely fits,"barely fits F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0009,C major,G major,G/B/D,D4,2,true,0.95,strongly resolves to,"strongly resolves to G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0009,C major,D minor,D/F/A,D4,2,true,0.95,strongly resolves to,"strongly resolves to D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0010,C major,C major,C/E/G,F4,5,false,0.4,barely fits,"barely fits C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0010,C major,F major,F/A/C,F4,5,true,0.95,strongly resolves to,"strongly resolves to F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0010,C major,D minor,D/F/A,F4,5,true,0.95,strongly resolves to,"strongly resolves to D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0011,C major,C major,C/E/G,A4,9,false,0.4,barely fits,"barely fits C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0011,C major,F major,F/A/C,A4,9,true,0.95,strongly resolves to,"strongly resolves to F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0011,C major,G major,G/B/D,A4,9,false,0.35,barely fits,"barely fits G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0011,C major,D minor,D/F/A,A4,9,true,0.95,strongly resolves to,"strongly resolves to D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0012,C major,C major,C/E/G,B4,11,false,0.4,barely fits,"barely fits C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0012,C major,G major,G/B/D,B4,11,true,0.95,strongly resolves to,"strongly resolves to G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0013,C major,C major,C/E/G,C4,0,true,0.675,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0013,C major,C major,C/E/G,D4,2,false,0.675,works as a soft lead into,"works as a soft lead into C major — tonic / home harmony, and resolves cleanly to the home chord."
C-0013,C major,F major,F/A/C,C4,0,true,0.625,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0013,C major,F major,F/A/C,D4,2,false,0.625,works as a soft lead into,"works as a soft lead into F major — subdominant / supportive lift harmony, and feels like a supportive lift before a return."
C-0013,C major,G major,G/B/D,C4,0,false,0.675,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0013,C major,G major,G/B/D,D4,2,true,0.675,works as a soft lead into,"works as a soft lead into G major — dominant / forward pull harmony, and pushes the phrase forward toward a strong resolution."
C-0013,C major,D minor,D/F/A,C4,0,false,0.675,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
C-0013,C major,D minor,D/F/A,D4,2,true,0.675,works as a soft lead into,"works as a soft lead into D minor — relative minor / reflective return harmony, and leans toward a reflective, grounding resolution."
